,agency,power,verb_count,av,pv
u71,14,13,42,0.3333333333333333,0.30952380952380953
u63,0,0,0,,
u69,0,2,10,0.0,0.2
u64,3,2,5,0.6,0.4
u65,-1,-1,1,-1.0,-1.0
u67,20,21,61,0.32786885245901637,0.3442622950819672
u66,-1,0,4,-0.25,0.0
u70,1,4,4,0.25,1.0
u77,0,0,1,0.0,0.0
u73,0,0,0,,
u68,2,4,10,0.2,0.4
u74,0,0,0,,
u76,1,1,2,0.5,0.5
u78,2,2,6,0.3333333333333333,0.3333333333333333
u99,-2,2,4,-0.5,0.5
u84,-5,14,41,-0.12195121951219512,0.34146341463414637
u91,1,-1,1,1.0,-1.0
u79,1,1,1,1.0,1.0
u85,-3,-1,7,-0.42857142857142855,-0.14285714285714285
u80,-1,-1,1,-1.0,-1.0
u82,-1,1,1,-1.0,1.0
u88,1,1,1,1.0,1.0
u86,0,2,2,0.0,1.0
u89,1,1,1,1.0,1.0
u87,1,1,1,1.0,1.0
u90,0,2,3,0.0,0.6666666666666666
u96,1,2,2,0.5,1.0
u92,0,0,1,0.0,0.0
u93,0,0,0,,
u94,-2,-2,2,-1.0,-1.0
u95,1,0,1,1.0,0.0
u114,0,20,81,0.0,0.24691358024691357
u100,4,5,13,0.3076923076923077,0.38461538461538464
u105,32,33,53,0.6037735849056604,0.6226415094339622
u102,13,14,18,0.7222222222222222,0.7777777777777778
u103,3,2,3,1.0,0.6666666666666666
u106,6,6,15,0.4,0.4
u104,1,0,1,1.0,0.0
u107,-1,1,1,-1.0,1.0
u108,11,14,24,0.4583333333333333,0.5833333333333334
u109,1,5,11,0.09090909090909091,0.45454545454545453
u110,-2,5,9,-0.2222222222222222,0.5555555555555556
u111,3,1,5,0.6,0.2
u112,1,0,1,1.0,0.0
u113,1,2,3,0.3333333333333333,0.6666666666666666
u115,6,7,13,0.46153846153846156,0.5384615384615384
u121,-2,2,2,-1.0,1.0
u119,1,3,7,0.14285714285714285,0.42857142857142855
u122,2,2,2,1.0,1.0
u116,1,1,3,0.3333333333333333,0.3333333333333333
u117,-1,0,1,-1.0,0.0
u118,1,1,1,1.0,1.0
u120,0,0,0,,
u123,1,0,10,0.1,0.0
u127,-2,0,3,-0.6666666666666666,0.0
u125,-2,1,2,-1.0,0.5
u130,0,-3,4,0.0,-0.75
u128,3,2,3,1.0,0.6666666666666666
u126,-1,-1,2,-0.5,-0.5
u135,-3,0,3,-1.0,0.0
u131,-1,0,1,-1.0,0.0
u132,0,-1,4,0.0,-0.25
u133,2,1,2,1.0,0.5
u138,0,1,2,0.0,0.5
u134,0,1,1,0.0,1.0
u137,0,0,2,0.0,0.0
u136,0,0,0,,
u139,4,1,7,0.5714285714285714,0.14285714285714285
u154,75,82,151,0.4966887417218543,0.543046357615894
u142,26,24,39,0.6666666666666666,0.6153846153846154
u144,8,12,19,0.42105263157894735,0.631578947368421
u140,1,1,1,1.0,1.0
u141,0,0,0,,
u153,3,3,5,0.6,0.6
u143,0,-1,25,0.0,-0.04
u145,1,0,4,0.25,0.0
u146,-1,0,1,-1.0,0.0
u147,2,5,8,0.25,0.625
u151,4,4,8,0.5,0.5
u148,2,2,5,0.4,0.4
u150,-1,0,5,-0.2,0.0
u152,5,9,16,0.3125,0.5625
u155,13,8,14,0.9285714285714286,0.5714285714285714
u171,8,7,11,0.7272727272727273,0.6363636363636364
u166,14,21,33,0.42424242424242425,0.6363636363636364
u169,22,26,52,0.4230769230769231,0.5
u159,-1,1,3,-0.3333333333333333,0.3333333333333333
u161,0,0,0,,
u162,18,14,25,0.72,0.56
u167,0,0,2,0.0,0.0
u168,1,1,1,1.0,1.0
u177,-1,1,1,-1.0,1.0
u175,1,1,1,1.0,1.0
u174,2,4,5,0.4,0.8
u184,1,1,1,1.0,1.0
u178,2,0,2,1.0,0.0
u185,3,-2,4,0.75,-0.5
u179,1,1,2,0.5,0.5
u193,-7,4,14,-0.5,0.2857142857142857
u180,2,0,10,0.2,0.0
u191,1,2,3,0.3333333333333333,0.6666666666666666
u186,0,0,2,0.0,0.0
u189,1,0,1,1.0,0.0
u182,2,2,2,1.0,1.0
u187,0,0,0,,
u192,-1,0,2,-0.5,0.0
u205,-2,1,2,-1.0,0.5
u195,-1,1,1,-1.0,1.0
u196,0,0,0,,
u214,2,2,6,0.3333333333333333,0.3333333333333333
u209,1,0,1,1.0,0.0
u198,1,3,10,0.1,0.3
u202,-1,1,1,-1.0,1.0
u199,2,0,2,1.0,0.0
u200,0,0,0,,
u211,0,0,0,,
u208,3,1,3,1.0,0.3333333333333333
u204,0,0,0,,
u210,0,3,3,0.0,1.0
u224,101,104,214,0.4719626168224299,0.48598130841121495
u215,4,4,7,0.5714285714285714,0.5714285714285714
u216,0,0,4,0.0,0.0
u217,9,5,19,0.47368421052631576,0.2631578947368421
u218,39,36,92,0.42391304347826086,0.391304347826087
u223,-1,1,3,-0.3333333333333333,0.3333333333333333
u221,2,4,8,0.25,0.5
u222,2,2,2,1.0,1.0
u227,3,2,3,1.0,0.6666666666666666
u225,1,2,4,0.25,0.5
u228,5,2,7,0.7142857142857143,0.2857142857142857
u240,19,23,33,0.5757575757575758,0.696969696969697
u229,8,8,13,0.6153846153846154,0.6153846153846154
u230,10,9,24,0.4166666666666667,0.375
u237,102,79,158,0.6455696202531646,0.5
u231,5,7,12,0.4166666666666667,0.5833333333333334
u233,9,8,20,0.45,0.4
u232,28,30,48,0.5833333333333334,0.625
u238,1,1,1,1.0,1.0
u234,1,0,2,0.5,0.0
u236,9,16,20,0.45,0.8
u239,2,2,2,1.0,1.0
u241,0,0,0,,
u260,62,62,122,0.5081967213114754,0.5081967213114754
u244,2,2,6,0.3333333333333333,0.3333333333333333
u255,80,75,137,0.583941605839416,0.5474452554744526
u245,-6,-2,6,-1.0,-0.3333333333333333
u252,0,3,8,0.0,0.375
u261,13,10,21,0.6190476190476191,0.47619047619047616
u247,7,10,30,0.23333333333333334,0.3333333333333333
u254,-1,-1,1,-1.0,-1.0
u249,0,0,2,0.0,0.0
u262,-1,-1,5,-0.2,-0.2
u250,-1,1,1,-1.0,1.0
u251,2,4,16,0.125,0.25
u267,-3,0,3,-1.0,0.0
u253,3,6,7,0.42857142857142855,0.8571428571428571
u266,-2,3,10,-0.2,0.3
u257,-1,-2,3,-0.3333333333333333,-0.6666666666666666
u265,1,1,1,1.0,1.0
u259,0,0,0,,
u268,5,5,5,1.0,1.0
u264,10,8,13,0.7692307692307693,0.6153846153846154
u280,1,1,1,1.0,1.0
u269,5,6,15,0.3333333333333333,0.4
u274,1,17,28,0.03571428571428571,0.6071428571428571
u275,1,0,1,1.0,0.0
u278,1,0,1,1.0,0.0
u271,0,0,0,,
u272,3,3,3,1.0,1.0
u283,-2,2,4,-0.5,0.5
u273,0,0,0,,
u276,-1,3,16,-0.0625,0.1875
u284,-1,-1,1,-1.0,-1.0
u288,-1,11,19,-0.05263157894736842,0.5789473684210527
u303,1,1,1,1.0,1.0
u285,1,2,3,0.3333333333333333,0.6666666666666666
u297,10,8,16,0.625,0.5
u286,0,3,4,0.0,0.75
u287,3,-2,24,0.125,-0.08333333333333333
u289,0,0,0,,
u292,1,-1,7,0.14285714285714285,-0.14285714285714285
u299,0,0,0,,
u295,-2,1,2,-1.0,0.5
u294,-1,2,3,-0.3333333333333333,0.6666666666666666
u304,1,1,1,1.0,1.0
u296,0,0,0,,
u291,0,0,0,,
u298,0,0,0,,
u305,1,1,1,1.0,1.0
u309,1,0,1,1.0,0.0
u306,0,-1,8,0.0,-0.125
u315,1,3,3,0.3333333333333333,1.0
u308,5,13,17,0.29411764705882354,0.7647058823529411
u312,5,7,11,0.45454545454545453,0.6363636363636364
u313,7,8,28,0.25,0.2857142857142857
u307,0,0,0,,
u310,-2,2,2,-1.0,1.0
u326,-3,5,5,-0.6,1.0
u317,-1,1,1,-1.0,1.0
u314,1,1,2,0.5,0.5
u322,3,8,11,0.2727272727272727,0.7272727272727273
u321,0,0,0,,
u320,-1,1,3,-0.3333333333333333,0.3333333333333333
u323,-2,-1,6,-0.3333333333333333,-0.16666666666666666
u331,-2,3,8,-0.25,0.375
u327,-10,33,53,-0.18867924528301888,0.6226415094339622
u330,-1,0,5,-0.2,0.0
u334,-1,-1,1,-1.0,-1.0
u342,-1,3,3,-0.3333333333333333,1.0
u341,-2,-2,3,-0.6666666666666666,-0.6666666666666666
u328,-1,0,3,-0.3333333333333333,0.0
u336,-4,-2,13,-0.3076923076923077,-0.15384615384615385
u332,2,2,2,1.0,1.0
u343,1,1,1,1.0,1.0
u333,1,0,5,0.2,0.0
u337,-4,4,12,-0.3333333333333333,0.3333333333333333
u340,1,1,1,1.0,1.0
u335,3,3,8,0.375,0.375
u350,3,4,8,0.375,0.5
u344,8,17,36,0.2222222222222222,0.4722222222222222
u354,95,107,230,0.41304347826086957,0.4652173913043478
u345,2,0,2,1.0,0.0
u346,2,-1,4,0.5,-0.25
u348,2,3,4,0.5,0.75
u359,82,81,163,0.5030674846625767,0.49693251533742333
u349,11,26,48,0.22916666666666666,0.5416666666666666
u358,1,4,13,0.07692307692307693,0.3076923076923077
u352,1,2,2,0.5,1.0
u353,13,24,37,0.35135135135135137,0.6486486486486487
u357,4,4,5,0.8,0.8
u356,6,5,11,0.5454545454545454,0.45454545454545453
u360,-3,0,3,-1.0,0.0
u362,-8,18,42,-0.19047619047619047,0.42857142857142855
u361,0,0,0,,
u363,-3,0,3,-1.0,0.0
u367,2,0,2,1.0,0.0
u377,-7,11,16,-0.4375,0.6875
u370,0,0,0,,
u366,-1,1,1,-1.0,1.0
u369,-1,-1,2,-0.5,-0.5
u374,-1,1,1,-1.0,1.0
u368,-1,-1,1,-1.0,-1.0
u375,-3,-2,5,-0.6,-0.4
u380,-4,12,22,-0.18181818181818182,0.5454545454545454
u386,2,2,4,0.5,0.5
u385,2,0,2,1.0,0.0
u383,2,6,8,0.25,0.75
u381,-1,-1,2,-0.5,-0.5
u387,-4,0,25,-0.16,0.0
u388,3,4,7,0.42857142857142855,0.5714285714285714
u379,-1,1,1,-1.0,1.0
u382,2,0,2,1.0,0.0
u404,0,2,6,0.0,0.3333333333333333
u390,-1,0,4,-0.25,0.0
u403,14,9,21,0.6666666666666666,0.42857142857142855
u393,18,19,35,0.5142857142857142,0.5428571428571428
u406,60,56,103,0.5825242718446602,0.5436893203883495
u391,12,9,16,0.75,0.5625
u392,6,7,21,0.2857142857142857,0.3333333333333333
u396,4,1,6,0.6666666666666666,0.16666666666666666
u394,0,0,0,,
u397,0,0,0,,
u395,13,8,17,0.7647058823529411,0.47058823529411764
u405,0,0,0,,
u398,7,6,18,0.3888888888888889,0.3333333333333333
u399,-1,1,2,-0.5,0.5
u410,1,1,1,1.0,1.0
u409,4,3,8,0.5,0.375
u407,3,2,3,1.0,0.6666666666666666
u421,42,38,83,0.5060240963855421,0.4578313253012048
u411,-2,5,6,-0.3333333333333333,0.8333333333333334
u412,92,81,176,0.5227272727272727,0.4602272727272727
u417,19,12,23,0.8260869565217391,0.5217391304347826
u422,4,6,6,0.6666666666666666,1.0
u419,3,3,8,0.375,0.375
u413,1,0,1,1.0,0.0
u420,2,6,11,0.18181818181818182,0.5454545454545454
u416,2,5,7,0.2857142857142857,0.7142857142857143
u423,6,6,12,0.5,0.5
u424,-1,1,1,-1.0,1.0
u425,15,10,17,0.8823529411764706,0.5882352941176471
u432,105,104,191,0.5497382198952879,0.5445026178010471
u426,3,2,3,1.0,0.6666666666666666
u427,1,1,1,1.0,1.0
u428,7,6,10,0.7,0.6
u429,6,8,8,0.75,1.0
u430,0,1,4,0.0,0.25
u431,6,6,9,0.6666666666666666,0.6666666666666666
u433,1,8,13,0.07692307692307693,0.6153846153846154
u434,2,1,2,1.0,0.5
u443,1,0,9,0.1111111111111111,0.0
u436,4,3,5,0.8,0.6
u437,4,3,4,1.0,0.75
u452,30,23,56,0.5357142857142857,0.4107142857142857
u439,28,24,65,0.4307692307692308,0.36923076923076925
u438,5,8,14,0.35714285714285715,0.5714285714285714
u447,7,16,38,0.18421052631578946,0.42105263157894735
u446,1,2,16,0.0625,0.125
u441,-2,9,24,-0.08333333333333333,0.375
u445,1,2,4,0.25,0.5
u440,2,1,2,1.0,0.5
u450,1,2,3,0.3333333333333333,0.6666666666666666
u444,2,0,6,0.3333333333333333,0.0
u449,1,1,1,1.0,1.0
u453,-1,-1,1,-1.0,-1.0
u473,14,29,70,0.2,0.4142857142857143
u455,6,4,7,0.8571428571428571,0.5714285714285714
u466,-1,-1,1,-1.0,-1.0
u463,2,2,4,0.5,0.5
u459,7,6,13,0.5384615384615384,0.46153846153846156
u456,0,1,2,0.0,0.5
u462,8,3,11,0.7272727272727273,0.2727272727272727
u457,4,1,4,1.0,0.25
u471,0,1,3,0.0,0.3333333333333333
u472,-1,1,1,-1.0,1.0
u460,1,0,1,1.0,0.0
u461,11,6,23,0.4782608695652174,0.2608695652173913
u465,3,5,5,0.6,1.0
u458,3,6,6,0.5,1.0
u469,0,0,2,0.0,0.0
u470,0,0,0,,
u474,1,4,5,0.2,0.8
u479,32,32,75,0.4266666666666667,0.4266666666666667
u480,38,24,56,0.6785714285714286,0.42857142857142855
u477,13,10,17,0.7647058823529411,0.5882352941176471
u487,2,2,4,0.5,0.5
u483,11,4,19,0.5789473684210527,0.21052631578947367
u478,15,20,37,0.40540540540540543,0.5405405405405406
u482,22,17,40,0.55,0.425
u481,17,12,19,0.8947368421052632,0.631578947368421
u484,2,2,2,1.0,1.0
u485,5,-2,20,0.25,-0.1
u495,5,6,10,0.5,0.6
u492,105,113,193,0.5440414507772021,0.5854922279792746
u488,3,10,12,0.25,0.8333333333333334
u489,0,2,3,0.0,0.6666666666666666
u493,3,6,13,0.23076923076923078,0.46153846153846156
u494,7,15,22,0.3181818181818182,0.6818181818181818
u496,3,3,3,1.0,1.0
u497,10,17,31,0.3225806451612903,0.5483870967741935
u499,30,27,47,0.6382978723404256,0.574468085106383
u504,3,3,8,0.375,0.375
u502,71,71,114,0.6228070175438597,0.6228070175438597
u501,20,18,54,0.37037037037037035,0.3333333333333333
u503,0,0,0,,
u516,23,14,50,0.46,0.28
u505,20,12,27,0.7407407407407407,0.4444444444444444
u511,32,27,69,0.463768115942029,0.391304347826087
u506,0,1,2,0.0,0.5
u507,0,1,1,0.0,1.0
u509,9,9,11,0.8181818181818182,0.8181818181818182
u515,94,60,160,0.5875,0.375
u519,12,10,17,0.7058823529411765,0.5882352941176471
u510,1,0,2,0.5,0.0
u517,6,5,8,0.75,0.625
u514,11,9,14,0.7857142857142857,0.6428571428571429
u512,6,8,9,0.6666666666666666,0.8888888888888888
u518,1,3,3,0.3333333333333333,1.0
u520,80,88,122,0.6557377049180327,0.7213114754098361
u525,98,107,177,0.5536723163841808,0.6045197740112994
u521,1,1,2,0.5,0.5
u522,109,104,142,0.7676056338028169,0.7323943661971831
u528,15,9,20,0.75,0.45
u523,12,12,17,0.7058823529411765,0.7058823529411765
u524,10,15,27,0.37037037037037035,0.5555555555555556
u527,-2,3,6,-0.3333333333333333,0.5
u526,3,3,7,0.42857142857142855,0.42857142857142855
u529,9,9,15,0.6,0.6
u538,2,0,6,0.3333333333333333,0.0
u542,12,12,24,0.5,0.5
u539,-1,4,12,-0.08333333333333333,0.3333333333333333
u544,2,1,6,0.3333333333333333,0.16666666666666666
u530,8,8,10,0.8,0.8
u532,73,65,117,0.6239316239316239,0.5555555555555556
u537,10,9,16,0.625,0.5625
u536,4,2,5,0.8,0.4
u543,-1,-2,6,-0.16666666666666666,-0.3333333333333333
u541,1,0,1,1.0,0.0
u540,4,14,23,0.17391304347826086,0.6086956521739131
u545,-1,1,1,-1.0,1.0
u547,-7,6,50,-0.14,0.12
u561,2,1,5,0.4,0.2
u548,0,0,0,,
u556,-11,8,40,-0.275,0.2
u555,0,1,3,0.0,0.3333333333333333
u567,3,4,13,0.23076923076923078,0.3076923076923077
u554,0,0,0,,
u564,-1,0,1,-1.0,0.0
u553,0,12,20,0.0,0.6
u551,0,1,1,0.0,1.0
u558,1,1,1,1.0,1.0
u557,1,3,5,0.2,0.6
u565,0,1,2,0.0,0.5
u562,1,1,1,1.0,1.0
u574,66,111,266,0.24812030075187969,0.41729323308270677
u568,1,0,1,1.0,0.0
u573,24,42,62,0.3870967741935484,0.6774193548387096
u569,-2,0,2,-1.0,0.0
u570,3,8,17,0.17647058823529413,0.47058823529411764
u571,22,30,75,0.29333333333333333,0.4
u581,1,2,3,0.3333333333333333,0.6666666666666666
u572,0,0,0,,
u575,-2,0,6,-0.3333333333333333,0.0
u580,-1,16,50,-0.02,0.32
u598,-1,0,7,-0.14285714285714285,0.0
u582,2,1,2,1.0,0.5
u591,8,7,13,0.6153846153846154,0.5384615384615384
u584,-1,-1,1,-1.0,-1.0
u596,-2,0,5,-0.4,0.0
u594,6,12,12,0.5,1.0
u585,1,7,16,0.0625,0.4375
u588,0,0,0,,
u592,2,2,2,1.0,1.0
u595,-1,-1,1,-1.0,-1.0
u587,0,2,2,0.0,1.0
u589,2,1,2,1.0,0.5
u583,1,1,1,1.0,1.0
u590,0,0,1,0.0,0.0
u593,1,0,2,0.5,0.0
u597,0,0,0,,
u599,50,72,133,0.37593984962406013,0.5413533834586466
u603,25,64,93,0.26881720430107525,0.6881720430107527
u601,37,54,78,0.47435897435897434,0.6923076923076923
u600,8,8,12,0.6666666666666666,0.6666666666666666
u611,22,19,28,0.7857142857142857,0.6785714285714286
u610,3,3,3,1.0,1.0
u606,5,5,14,0.35714285714285715,0.35714285714285715
u605,2,1,2,1.0,0.5
u602,-2,0,2,-1.0,0.0
u604,7,6,7,1.0,0.8571428571428571
u615,1,0,3,0.3333333333333333,0.0
u623,-3,0,16,-0.1875,0.0
u612,-3,5,12,-0.25,0.4166666666666667
u620,1,0,1,1.0,0.0
u622,-4,-1,12,-0.3333333333333333,-0.08333333333333333
u627,0,2,4,0.0,0.5
u613,-1,14,30,-0.03333333333333333,0.4666666666666667
u616,2,2,3,0.6666666666666666,0.6666666666666666
u618,0,0,2,0.0,0.0
u619,0,1,2,0.0,0.5
u642,23,28,87,0.26436781609195403,0.3218390804597701
u641,35,42,85,0.4117647058823529,0.49411764705882355
u639,5,8,18,0.2777777777777778,0.4444444444444444
u634,10,9,11,0.9090909090909091,0.8181818181818182
u630,8,5,9,0.8888888888888888,0.5555555555555556
u638,10,20,35,0.2857142857142857,0.5714285714285714
u631,8,6,19,0.42105263157894735,0.3157894736842105
u640,4,7,12,0.3333333333333333,0.5833333333333334
u633,0,0,0,,
u636,9,9,17,0.5294117647058824,0.5294117647058824
u637,1,3,3,0.3333333333333333,1.0
u635,2,2,9,0.2222222222222222,0.2222222222222222
u643,3,2,6,0.5,0.3333333333333333
u646,-1,8,64,-0.015625,0.125
u645,-2,0,2,-1.0,0.0
u649,1,1,1,1.0,1.0
u644,-1,-1,1,-1.0,-1.0
u655,0,2,3,0.0,0.6666666666666666
u652,1,0,1,1.0,0.0
u650,-1,0,7,-0.14285714285714285,0.0
u656,2,4,7,0.2857142857142857,0.5714285714285714
u648,0,0,0,,
u647,1,1,1,1.0,1.0
u651,0,2,2,0.0,1.0
u653,-2,2,2,-1.0,1.0
u658,-2,0,4,-0.5,0.0
u667,2,9,46,0.043478260869565216,0.1956521739130435
u665,1,7,26,0.038461538461538464,0.2692307692307692
u659,-1,-1,1,-1.0,-1.0
u660,0,0,0,,
u662,-1,1,1,-1.0,1.0
u663,0,1,3,0.0,0.3333333333333333
u668,1,1,3,0.3333333333333333,0.3333333333333333
u671,0,4,4,0.0,1.0
u669,0,2,9,0.0,0.2222222222222222
u664,-5,9,26,-0.19230769230769232,0.34615384615384615
u666,-1,11,29,-0.034482758620689655,0.3793103448275862
u672,-1,0,1,-1.0,0.0
u681,-2,0,2,-1.0,0.0
u674,1,1,3,0.3333333333333333,0.3333333333333333
u675,12,15,20,0.6,0.75
u676,231,226,376,0.6143617021276596,0.601063829787234
u680,0,0,0,,
u682,7,18,28,0.25,0.6428571428571429
u679,6,6,8,0.75,0.75
u684,6,6,7,0.8571428571428571,0.8571428571428571
u685,1,1,1,1.0,1.0
u687,3,2,6,0.5,0.3333333333333333
u688,0,0,0,,
u686,1,8,8,0.125,1.0
u697,2,9,13,0.15384615384615385,0.6923076923076923
u690,-1,1,5,-0.2,0.2
u695,3,-2,13,0.23076923076923078,-0.15384615384615385
u699,0,0,0,,
u705,0,0,0,,
u707,1,1,6,0.16666666666666666,0.16666666666666666
u691,-2,0,12,-0.16666666666666666,0.0
u703,3,-2,3,1.0,-0.6666666666666666
u706,-1,-2,3,-0.3333333333333333,-0.6666666666666666
u692,0,0,0,,
u693,-1,-1,1,-1.0,-1.0
u700,0,0,0,,
u696,0,0,2,0.0,0.0
u704,1,2,4,0.25,0.5
u702,4,3,5,0.8,0.6
u708,0,7,10,0.0,0.7
u715,34,25,74,0.4594594594594595,0.33783783783783783
u713,91,89,177,0.5141242937853108,0.5028248587570622
u709,2,3,7,0.2857142857142857,0.42857142857142855
u712,22,23,31,0.7096774193548387,0.7419354838709677
u710,12,4,20,0.6,0.2
u724,9,9,9,1.0,1.0
u714,9,10,11,0.8181818181818182,0.9090909090909091
u718,14,14,23,0.6086956521739131,0.6086956521739131
u721,2,7,13,0.15384615384615385,0.5384615384615384
u716,0,4,8,0.0,0.5
u722,1,0,1,1.0,0.0
u717,10,9,16,0.625,0.5625
u723,7,9,14,0.5,0.6428571428571429
u719,9,17,25,0.36,0.68
u725,11,8,21,0.5238095238095238,0.38095238095238093
u728,71,116,209,0.3397129186602871,0.5550239234449761
u735,12,17,20,0.6,0.85
u726,0,0,0,,
u727,7,7,13,0.5384615384615384,0.5384615384615384
u733,20,13,33,0.6060606060606061,0.3939393939393939
u730,1,5,15,0.06666666666666667,0.3333333333333333
u731,0,0,0,,
u734,8,15,16,0.5,0.9375
u732,16,24,39,0.41025641025641024,0.6153846153846154
u737,1,1,3,0.3333333333333333,0.3333333333333333
u741,-3,2,10,-0.3,0.2
u740,3,5,21,0.14285714285714285,0.23809523809523808
u743,0,-2,4,0.0,-0.5
u744,0,2,2,0.0,1.0
u753,8,17,48,0.16666666666666666,0.3541666666666667
u745,5,4,7,0.7142857142857143,0.5714285714285714
u757,3,4,6,0.5,0.6666666666666666
u749,1,1,1,1.0,1.0
u746,1,1,6,0.16666666666666666,0.16666666666666666
u755,3,4,6,0.5,0.6666666666666666
u747,2,2,2,1.0,1.0
u754,0,0,2,0.0,0.0
u748,2,2,2,1.0,1.0
u751,0,6,20,0.0,0.3
u750,3,3,3,1.0,1.0
u758,0,0,0,,
u752,3,2,7,0.42857142857142855,0.2857142857142857
u756,6,7,11,0.5454545454545454,0.6363636363636364
u760,8,2,9,0.8888888888888888,0.2222222222222222
u759,3,-1,3,1.0,-0.3333333333333333
u761,6,2,8,0.75,0.25
u765,37,37,65,0.5692307692307692,0.5692307692307692
u762,0,0,0,,
u766,29,37,68,0.4264705882352941,0.5441176470588235
u763,10,13,20,0.5,0.65
u764,12,12,15,0.8,0.8
u775,40,46,57,0.7017543859649122,0.8070175438596491
u768,29,34,66,0.4393939393939394,0.5151515151515151
u767,10,15,18,0.5555555555555556,0.8333333333333334
u772,3,4,6,0.5,0.6666666666666666
u771,7,8,11,0.6363636363636364,0.7272727272727273
u769,1,-2,5,0.2,-0.4
u786,-1,-1,1,-1.0,-1.0
u785,-5,6,13,-0.38461538461538464,0.46153846153846156
u779,9,23,58,0.15517241379310345,0.39655172413793105
u793,3,2,5,0.6,0.4
u795,1,3,3,0.3333333333333333,1.0
u784,1,1,8,0.125,0.125
u791,3,-1,3,1.0,-0.3333333333333333
u788,0,0,0,,
u792,2,2,7,0.2857142857142857,0.2857142857142857
u781,0,0,0,,
u783,5,3,9,0.5555555555555556,0.3333333333333333
u782,-1,1,1,-1.0,1.0
u787,2,2,2,1.0,1.0
u790,0,0,0,,
u796,22,23,43,0.5116279069767442,0.5348837209302325
u810,7,8,13,0.5384615384615384,0.6153846153846154
u809,2,1,2,1.0,0.5
u803,14,10,17,0.8235294117647058,0.5882352941176471
u797,11,5,12,0.9166666666666666,0.4166666666666667
u806,4,3,7,0.5714285714285714,0.42857142857142855
u798,3,8,16,0.1875,0.5
u799,5,4,6,0.8333333333333334,0.6666666666666666
u814,2,1,2,1.0,0.5
u800,1,0,1,1.0,0.0
u808,6,4,6,1.0,0.6666666666666666
u804,5,3,10,0.5,0.3
u805,2,2,3,0.6666666666666666,0.6666666666666666
u815,2,1,2,1.0,0.5
u820,43,45,76,0.5657894736842105,0.5921052631578947
u817,5,2,7,0.7142857142857143,0.2857142857142857
u818,35,34,59,0.5932203389830508,0.576271186440678
u821,6,4,6,1.0,0.6666666666666666
u819,1,0,1,1.0,0.0
u823,2,4,7,0.2857142857142857,0.5714285714285714
u822,10,1,16,0.625,0.0625
u816,0,0,0,,
u824,-2,2,2,-1.0,1.0
u838,4,14,23,0.17391304347826086,0.6086956521739131
u825,-1,0,2,-0.5,0.0
u826,0,-1,10,0.0,-0.1
u827,-3,2,5,-0.6,0.4
u828,1,0,1,1.0,0.0
u830,0,0,0,,
u829,-1,1,1,-1.0,1.0
u831,-2,2,2,-1.0,1.0
u832,5,6,13,0.38461538461538464,0.46153846153846156
u837,1,1,3,0.3333333333333333,0.3333333333333333
u833,2,4,4,0.5,1.0
u834,3,2,4,0.75,0.5
u836,0,0,0,,
u839,2,-1,4,0.5,-0.25
u849,0,1,4,0.0,0.25
